tanggal,judul,isi
06 Des 2019,Live Streaming Dear Netizen Membaca Arah Golkar di Tangan Airlangga,"Liputan6.com, Jakarta - Airlangga Hartarto terpilih aklamasi sebagai Ketua Umum Golkar 2019-2024. Penantang sebelumnya, Bambang Soesatyo, mundur dari bursa calon ketua umum Golkar usai bertemu senior partai, Luhut Binsar Pandjaitan dan Aburizal Bakrie, Selasa 3 Desember 2019.Bamsoet dalam pernyataannya menyebut bahwa langkah mundurnya itu karena mengikuti pesan para senior; menjaga soliditas kader dan keutuhan golkar. Dia juga menyinggung soal rekonsiliasi antara dua kubu yang sempat panas menjelang Munas Golkar, berharap tidak ada lagi gap loyalis dalam menggerakan roda organisasi ke depannya.Baca JugaPresiden Jokowi sampai memuji suasana saat pembukaan Munas. Menurut dia, hawa sejuk sangat terasa bahkan saat dirinya baru memasuki ruangan acara.""Saya tadi masuk pintu ruangan ini hawanya sudah kelihatan sejuk gitu, sejuk. Saya yakin meskipun AC-nya dimatikan kita tetap sejuk,"" kata Jokowi di Hotel Ritz Carlton Mega Kuningan Jakarta Selatan, Selasa 3 Desember 2019.Lantas, bagaimana langkah Airlangga ke depan dalam membesarkan partai dan berperan dalam pemerintahan? Saksikan Dear Netizen ""Membaca Arah Politik Golkar di Tangan Airlangga"", bersama Peneliti CSIS Arya Fernandes, Jumat 6 Desember 2019, di link berikut."
06 Des 2019,Airlangga Hartarto Kembali Pimpin Partai Golkar,"Liputan6.com, Jakarta - Airlangga Hartarto terpilih secara aklamasi sebagai Ketua Umum atau Ketum Partai Golkar periode 2019-2024. Ini adalah periode kedua bagi Airlangga di pucuk pimpinan partai berlambang pohon beringin.Selanjutnya, Airlangga Hartarto memiliki waktu 60 hari selambat-lambatnya untuk membuat formatur kepengurusan Partai Golkar. Menteri Koordinator Bidang Perekonomian dalam Kabinet Indonesia Maju ini pun belum menjawab soal wacana posisi waketum Golkar.Baca JugaSebelumnya, Airlangga juga terpilih secara aklamasi sebagai Ketum Partai Golkar Periode 2017-2019. Ketika itu, dia terpilih saat Musyawarah Nasional Luar Biasa atau Munaslub Golkar di Jakarta, 20 Desember 2017.Bagaimana perjalanan Airlangga Hartarto sebagai kader Golkar hingga mencapai pucuk partai beringin? Simak dalam Infografis berikut ini:Airlangga Hartarto terpilih kembali menjadi Ketua Umum Partai Golkar periode 2019-2024 di Munas X Golkar. Dalam agenda Munas selanjutnya, Airlangga akan memimpin langsung penyusunan kepengurusan DPP Partai Golkar 2019-2024."
07 Des 2019,Usai Kasus Harley Garuda Indonesia Diisukan Angkut Ferrari Ilegal Ini Faktanya,"Liputan6.com, Jakarta - PT Garuda Indonesia angkat bicara mengenai beredarnya video pengangkutan Ferrari ilegal berwarna merah. Melalui keterangan resminya, maskapai milik negara itu menegaskan, Ferrari tersebut merupakan milik seseorang yang telah melalui proses kepabeanan.""Kami konfirmasikan bahwa mobil tersebut merupakan barang kargo yang secara legal diangkut dari Jakarta tujuan London Heathrow dengan pesawat Garuda Indonesia GA086 jenis B-777-300ER pada tanggal 9 Oktober 2018,"" ujar Vice President Corporate Secretary Ikhsan Rosan, Jakarta, Sabtu (7/12/2019).Baca JugaIkhsan mengatakan, mobil Ferrari tersebut adalah milik seseorang yang menggunakan jasa kargo Garuda Indonesia untuk pengiriman dari Jakarta ke London. Mobil tersebut juga telah melalui prosedur kepabeanan resmi.""Adapun lokasi pengambilan gambar adalah di bandara Heathrow London ketika kargo berupa mobil Ferrari tersebut diturunkan dari pesawat,"" jelasnya.Selain mengangkut mobil dalam penerbangannya, Garuda Indonesia pernah mengangkut Panda dengan penanganan khusus dari Chengdu, China ke Jakarta pada september 2017 lalu.Terkait kabar yang berembus bahwa ada mobil mewah turut diangkut dalam pesawat tersebut, Menteri BUMN Erick Thohir tidak banyak berkomentar.""Saya tidak tahu. Belum tahu, saya tidak bisa komentar sesuatu yang belum pasti,"" ujarnya usai mendampingi Presiden Joko Widodo meresmikan tol Kunciran-Serpong, Jumat, 6 Desember 2019.Ketika ditanya soal video yang beredar, Erick tetap menyatakan bahwa dirinya belum mengetahui apapun. Pun, mantan presiden Inter Milan ini belum menerima laporan tentang keberadaan Ferrari tersebut.""Saya tidak bisa melakukan (mengambil keputusan untuk Garuda Indonesia) hanya karena video,"" tuturnya.Sementara itu, kasus penyelundupan motor gede (moge) Harley Davidson yang dinyatakan milik Direktur Utama Garuda Indonesia Ari Askhara hingga kini terus memanas.Reporter: Anggun P SitumorangSumber: MerdekaMenteri Badan Usaha Milik Negara Erick Thohir memberhentikan Direktur Utama Garuda Indonesia Ari Ashkara atas penyelundupan onderdil Harley Davidson keluaran 1970-an yang didatangkan dari Prancis."
07 Des 2019,Kerja Fleksibel ASN Akan Diuji Coba Mulai 1 Januari 2020 Tak Berlaku di Semua Jabatan,"Liputan6.com, Jakarta - Pemerintah berencana menerapkan sistem Flexible Working Arrangement ke aparatur sipil negara (ASN). Salah satunya dengan memberikan libur saat hari kerja.Komisoner ASN Rudianto Sumarwono mengatakan konsep tersebut tidak akan dilakukan ke seluruh jabatan. Ada beberapa kriteria para pegawai sipil yang bisa bekerja di rumah.Baca Juga""Tidak semua PNS bisa bekerja seperti itu, ada mekanisme, siapa yang bekerja di rumah dengan sistem kinerja yang terpadu. Yang penting outputnya terjaga,"" kata Rudi saat diskusi 'Meracik Pegawai Negeri Super' di Kawasan Menteng, Jakarta Pusat, Sabtu (7/12/2019).Oleh sebab itu, kata Rudi, Kementerian PAN-RB akan melakukan try out yang akan dilakukan selama 2020. Uji coba ini untuk melakukan evaluasi terhadap sistem tersebut sebelum diterapkan.""Tentu saja ini memerlukan evaluasi bersangkutan. Oleh karena itu, Kementeri PAN RB bersama-sama mulai Januari 2020-Desember 2020 melakukan try out terhadap pelaksana manajemen kinerja secara menyeluruh,"" ungkap Rudi soal ASN kerja dari rumah.Komisioner Komisi Aparatur Sipil Negara (KASN), Waluyo Martowiyoto, mengatakan dalam penerapan konsep FWA pada PNS di antaranya adalah flexi working time atau waktu kerja PNS yang fleksibel. Juga flexi working space atau PNS lebih fleksibel dalam memilih tempat kerja.""Jadi uji coba FWA adalah fleksibel working time, jadi bisa jadi umpamanya kalau biasanya kerjanya jam 7 ada yang 08.30, ada mungkin jam masuk jam pulangnya beda,"" kata Waluyo, saat menghadiri Pilot Project Manajemen Kinerja PNS Berdasarkan Peraturan Pemerintah Nomor 30 Tahun 2019, di Kantor Kementerian Pemberdayaan Aparatur Negara Reformasi Birokrasi, Jakarta, Selasa (3/12/2019).Menurut Waluyo, salah satu pilihan untuk menerapkan konsep FWA adalah waktu libur PNS yang lebih banyak, di luar libur Sabtu Minggu. Namun, untuk mendapatkan libur tersebut harus memadatkan waktu kerja.""Sehingga mungkin setiap hari Jumat ganjil atau genap bisa libur, gitu kan. Ini yang mengenai compress worknya,"" tuturnya.Reporter: IntanSumber: Merdeka"
07 Des 2019,Dapat Anugerah Asian of The Year Ini Reaksi Jokowi,"Liputan6.com, Jakarta - Presiden Jokowi menanggapi santai terkait penghargaan Asian of The Year 2019 dari Surat Kabar The Straits Time. Penghargaan tersebut diberikan karena Jokowi dinilai berhasil memimpin negara dengan ekonomi terbesar di Asia Tenggara.""Ya tanyakan ke Straits Time,"" kata Jokowi di Gerbang Tol Parigi, Kota Tangerang, Jumat 6 Desember 2019.Dia pun berharap, dengan adanya penghargaan tersebut Indonesia semakin dilihat sebagai negara yang stabil, dari segi ekonomi, politik, hingga masyarakatnya.Baca Juga""Ya, saya kira negara kita dilihat sebagai negara yang stabil, ekonominya stabil, politiknya bersatu, masyarakatnya,"" ungkap Jokowi.Jokowi pun meminta keutuhan dan kerukunan masyarakat di Indonesia tetap dijaga.""Tidak ada tawar menawar soal kerukunan. Ini milik besar kita, modal besar kita,"" ungkap Jokowi.Sebelumnya, Jokowi kembali meraih penghargaan dari luar negeri. Kali ini presiden Indonesia itu mendapat anugerah Asian of The Year dari media Singapura The Straits Times.Berita penghargaan ini menjadi salah satu headline di surat kabar tersebut. Bahkan, wajah Jokowi terpampang di halaman depan koran.Terpilihnya Jokowi sebagai peraih penghargaan tersebut, menjadikannya sebagai salah satu headline berita media Singapura tersebut. Dengan tajuk ""ST Asian of the Year 2019: Jokowi a respected leader at home and abroad"" edisi Kamis (5/12/2019).""Presiden Indonesia Joko Widodo, yang memenangkan mosi kepercayaan kuat untuk masa jabatan kedua dan terakhir setelah pemilihan pada bulan April, dinobatkan sebagai The Straits Times 'Asian of the Year,' tulis media Singapura tersebut.Dalam artikel tersebut, dijelaskan bahwa para editor dengan suara bulat memilih Jokowi. Alasannya karena telah memperkuat posisi lokal dan globalnya, dengan tidak hanya mempertahankan posisinya dengan margin yang bagus, tetapi juga menjadi ujung tombak di ASEAN Outlook on the Indo-Pacific (AOIP) atau ASEAN Outlook di Indo-Pasifik.Reporter: Intan Umbari PrihatinSumber: Merdeka.comPresiden Joko Widodo menerima anugerah Asian of The Year dari media Singapura The Straits Times. Jokowi dinilai mampu membawa Indonesia menjadi jantung ASEAN."
07 Des 2019,Zulkifli Hasan Hasil Pemilu PAN Tak Sesuai Target Tanggungjawab Saya,"Liputan6.com, Jakarta - Ketua Umum Partai Amanat Nasional (PAN), Zulkifli Hasan atau Zulhas mengaku dirinya aktor yang paling bertanggungjawab atas kegagalan PAN dalam Pemilu 2019.Dia menyebutkan, PAN yang hanya menduduki posisi ke-7 dalam pemilu lalu merupakan tanggungjawab dia sepenuhnya.Baca Juga""Tentu itu menjadi tanggung jawab saya sebagai ketua umum Partai Amanat Nasional karena sayalah yang diberikan mandat pada kongres yang lalu,"" kata dia di dalam acara pembukaan Rakernas V PAN di Hotel Millenium Jakarta, Sabtu (7/12/2019).Menurut dia, PAN pada pemilu lalu menargetkan kursi legislatif sebanyak 60 kursi dan hanya mencapai 44 saja.Menurutnya Pemilu 2019 lalu merupakan tantangan yang berat bagi PAN. Hal itu dialami kader PAN di lapangan. Terutama berbagai tekanan dari luar.Misalnya saja mengenai hasil survei yang kerap menyebut partainya itu tidak lolos ambang batas parlemen. ""Saya kalau ketemu Pak Amien, ketemu Mas Kris pasti deg-degan karena laporan survei PAN satu persen,"" ucapnya.Bagi Zulhas hal itu seakan membentuk opini publik dan internal partainya itu.Kendati begitu, Zulhas meminta para kader mensyukuri hasil tersebut. Dan ia juga mengucapkan terimakasih kepada para kader di daerah karena telah berusaha keras untuk mendapatkan 44 kursi parlemen.""Dari 60 kursi yang kita targetkan. 60 itu kita lakukan secara saintifik. Tidak main-main kita bayar mahal untuk itu,"" tegasnya.Zulkifli mengaku apa yang ia lakukan di dalam partainya akan ia pertanggungjawabkan.""Saudara-saudara apa yang saya lakukan saya pertanggungjawabkan duni akhirat. Kepada saudara, kepada masyarakat, kepada Allah SWT,"" kata Zulhas.Menurut dia sudah tidak ada lagi yang perlu diragukan baik terhadap dirinya maupun petinggi PAN lain. Karena menurut Zulhas, meskipun berbeda-beda secara pemikiran namun para petinggi itu memiliki semangat yang seirama.""Pak Amien pendiri partai, guru kita, tokoh kita. Mas Tris senior kita. Tujuan kita berpartai sama tidak berbeda satu dengan yang lain,"" ujar Zulhas.""Hanya memang saya dan Pak Amien ada beda cara saja,"" ia melanjutkan.Dalam kesempatan itu Zulhas juga menekankan bahwa semangat pilpres telah usai. Saat ini adalah waktunya bagi sesama kader PAN untuk membangun partainya.Zulhas sendiri dikabarkan tidak direstui untuk kembali menjabat sebagai ketua umum PAN oleh para pendiri partai itu. Menurut Pendiri PAN, Putra Jaya Husein, menyebut bahwa para senior PAN ingin ada perubahan kepemimpinan. Dia mengaku mendapat pengakuan langsung dari Amien Rais, Sutrisno Bachir dan Hatta Rajasa.""Mereka (senior PAN) minta ada perubahan kepemimpinan. Konfirm ya one hundred persen, karena saya bicara langsung, bukan katanya katanya,"" kata Putra Jaya Husein.Selain Zulhas, empat calon lain disebut bakal maju ialah Mulfachri Harahap, Asman Abnur, Bima Arya dan Drajad Wibowo. Husein pun menyerahkan kepada pemilik suara yaitu DPW dan DPD PAN diseluruh daerah.""Biarlah kasih kesempatan peserta kongres menilai, dari 5 kandidat ini mana yang terbaik Jangan diancam, kalau di ancam dia gak bisa menilai nanti, kalau diancam hilang kemampuan untuk menilai,"" tegasnya.Rakernas PAN akan menentukan tempat dan jadwal Kongres PAN V.Menurut Ketua Umum PAN Zulkifli Hasan atau Zulhas diperkirakan Kongres akan digelar antara Januari atau Februari.""Yang kedua menerima masukan ide dan pemikiran tentang perbaikan-perbaikan materi Kongres selama lima tahun apa yang perlu kita sempurnakan dan apa yang perlu kita perbaiki,"" ucap Zulhas.Hal itu dilakukan, kata Zulhas demi membuat PAN menjadi partai modern dan berkemajuan.Sementara itu, Wakil Ketua Umum DPP PAN, Totok Daryanto meminta supaya acara kongres tidak dilaksanakan di tempat asal nama-nama yang digandeng akan mencalonkan diri sebagai ketua umum partai tersebut.""Untuk menjaga agar pelaksanaan kongres itu benar-benar kongres yang menggembirakan,"" ucap dia.Totok juga beralasan bahwa hal itu demi menghindari gesekan antara sesama kader PAN.Kendati kata Totok kader PAN yang secara resmi mencalonkan diri sebagai caketum PAN belum ada namun ia beranggapan bahwa nama-namanya sudah banyak beredar.Seperti Ketum inkumben Zulhas, Mulfachri Harahap, Asman Abnur, Bima Arya dan Drajad Wibowo.PKS, Genrindra, dan PAN sepakat untuk berkoalisi di lima provinsi dalam Pilkada Serentak 2018."
07 Des 2019,Ada Bangku Taman Begini Penampakan Trotoar Cikini,"Liputan6.com, Jakarta - Pemerintah Provinsi DKI Jakarta merevitalisasi trotoar di Jalan Cikini Raya, Jakarta Pusat. Kini trotoar di sepanjang jalan menuju Stasiun Cikini sudah lebih lebar dan ramah pejalan kaki.Pantauan Liputan6.com, kini sepanjang trotoar jalan Cikini Raya terlihat lebih rapi dari sebelumnya, meski juga tidak terlihat sesejuk sebelumnya. Sebab, beberapa pohon-pohon besar yang menjadi pelindung warga dari sinar matahari sudah tak ada. Hanya sebagian yang masih dipertahankan.Baca JugaNamun begitu, Pemprov DKI juga sudah mengganti pohon-pohon besar tersebut dengan pohon lain, yakni pohon Tabebuya, hanya saja masih belum rimbun, dan belum bisa menjadi pelindung dari sinar matahari.Terlihat juga Pemrpov DKI sudah mulai menempatkan bangku taman di trotoar yang kini jauh lebih lebar dari sebelumnya.Menurut Coki, salah satu pekerja yang tengah memasang bangku taman menyebut, berdasarkan yang dia ketahui, rencananya Pemprov DKI akan menempatkan sekitar 400 bangku taman.Bangku-bangku taman tersebut dikirim dari PT Mega Baja yang berada di Klaten, Jawa Tengah. Menurutnya, pengerjaan bangku-bangku taman tersebut harus selesai pada 15 Desember 2019.""Dikirimnya enggak langsung banyak. Makanya belum semua terpasang,"" ujar Coki di lokasi.Selain bangku taman, Pemprov DKI juga menempatkan ratusan baja berwarna hitam yang berdiri tegak untuk menghindari agar trotoar tak dijadikan lokasi parkir kendaraan.Baja-baja hitam tersebut terlihat mengapit buiding block atau jalur kuning yang diperuntukan bagi penyandang disabilitas.Trotoar untuk pedagang kaki lima, Gubernur DKI Jakarta: multifungsi trotoar lumrah terjadi di kota besar di dunia."
07 Des 2019,Bus Rombongan Guru TK Asal Tulungagung Terjun ke Sungai 5 Orang Dilaporkan Tewas,"Liputan6.com, Jakarta - Sebuah bus pariwisata yang mengangkut rombongan guru pengawas dan kepala sekolah taman kanak-kanak asal Kabupaten Tulungagung, Jawa Timur terguling di jembatan Kecamatan Kesamben, Kabupaten Blitar. Akibat kecelakaan itu, lima orang dilaporkan tewas.""Saat ini para korban kami evakuasi, dibawa ke rumah sakit. Untuk kendaraan juga masih proses evakuasi berlanjut,"" kata Kepala Unit Laka Lantas Polres Blitar Ipda Didik Sugianto di Blitar, Sabtu (7/12/2019).Baca JugaRombongan bus guru TK asal Kabupaten Tulungagung itu rencananya akan liburan akhir pekan ke Pasuruan. Bus terguling di Jalan Raya Kesamben tepatnya sebelah timur SPBU sekitar pukul 06.30 WIB tadi.Dilansir Antara, kecelakaanberawal saat Bus Fabian Anugrah Trans dengan nomor polisi AG 7555 UR itu melaju dari arah barat dan tepat di atas jembatan menghindari truk tronton yang sedang berhenti karena mogok.Bus lalu menghindar ke kanan dan menabrak satu sepeda motor dari arah timur dan selanjutnya bus terjun ke sungai.Ipda Didik mengatakan, hingga saat ini pihaknya masih mendata secara pasti jumlah korban serta alamat mereka. Hal itu untuk memudahkan proses administrasi, sehingga bisa dengan cepat menghubungi keluarga.Namun, dari informasi yang didapat, terdapat sekitar 26 orang yang sudah dirujuk ke rumah sakit. Dikabarkan sedikitnya lima orang meninggal dunia akibat kecelakaantersebut. Saat ini, para korban dibawa ke RSUD Ngudi Waluyo, Kabupaten Blitar.Ia juga menambahkan, evakuasi korban sempat terkendala. Beberapa di antaranya ada yang terjepit.Selain itu, warga yang ingin melihat langsung kejadian kecelakaan itu juga berkerumun, sehingga sempat membuat petugas harus meminta agar mereka memberikan ruang untuk evakuasi korban.""Kesulitan karena warga begitu banyak yang berkumpul di tepi jalan, jadi padat. Ada kemacetan, jadi petugas buka tutup,"" kata dia pula.Terkait penyebab kecelakaan, pihaknya juga masih melakukan penyelidikan. Saat ini, petugas masih fokus untuk evakuasi kendaraan yang masuk ke sungai tersebut.""Kami belum bisa memastikan jumlahnya dan masih mendata jumlah korban meninggal dan luka-luka. Korban di RS Ngudi Waluyo,"" ujar dia lagi.Bus Kramat Djati tujuan Jakarta-Surabaya mengalami kecelakaan di KM 718+600 Tol Sumo, Gresik, Rabu, (27/11) sekitar pukul 05.00 WIB. Kanit PJR Tol Jatim III AKP Lamuji mengatakan kecelakaan diduga karena sopir mengantuk, sedangkan bus tengah melaju k..."
07 Des 2019,Aksi Heroik TNI dan Warga Papua Ganti Bendera Bintang Kejora dengan Merah Putih,"Liputan6.com, Papua - Tentara Nasional Indonesia (TNI) Yonif 754 Komando Strategi Angkatan Darat (Kostrad) bersama warga berhasil menurunkan bendera Bintang Kejora di atas Tower Navigasi, Jalan Yos Sudarso, Kota Agats, Kabupaten Asmat, Papua pada Jumat 6 Desember 2019.Bendera Bintang Kejora tersebut sempat berkibar setinggi 30 meter sejak 17 Agustus 2019. Bersama warga sekitar, TNI berhasil menurunkan bendera yang biasa digunakan oleh Organisasi Papua Merdeka (OPM) itu dan menggantikannya dengan bendera Merah Putih.Baca JugaDansatgas Pamrahwan Yonif 754/ENK Kostrad Letkol Inf Dodi Nur Hidayat mengatakan, pengibaran bendera Merah Putih di Asmat ini dipimpin langsung oleh Letda Inf Laksono selaku Danpos Satgas Pamrahwan Yonif 754/ENK.Menurut Dodi, penurunan bendera Bintang Kejora ini mendapat respons yang sangat positif dari masyarakat. Dodi mengatakan, masyarakat di Asmat menyatakan bahwa Asmat adalah bagian dari NKRI.""Aksi heroik ini merupakan salah satu bentuk dan wujud ketegasan warga masyarakat Asmat yang mewakili seluruh masyarakat Papua bahwa mereka sangat mencintai Indonesia,"" ucap Dodi dalam keterangan tertulis, Sabtu (7/12/2019).Dodi menegaskan tidak ada bendera yang bisa berkibar di wilayah Papua selain bendera Merah Putih. Sebab, Papua adalah bagian dari Negara Kesatuan Republik Indonesia (NKRI).Salah satu warga Asmat, Alowisius yang ikut mengibarkan bendera Merah Putih di atas tower tersebut juga menegaskan bahwa dirinya adalah bagian dari NKRI.""Bendera saya hanya bendera Merah Putih, tidak ada yang lain lagi. Kita masyarakat Papua, kita cinta terhadap Indonesia dan kita cinta terhadap bendera Merah Putih,"" ungkap Alowisius.Ratusan personel polisi Timika bersiaga mengamankan tanggal 1 Desember. 1 Desember merupakan hari ulang tahun Organisasi Papua Merdeka."
04 Des 2019,Ungkap Kasus Granat Meledak di Monas Polisi Tunggu Hasil Uji Laboratorium,"Liputan6.com, Jakarta - Kepala Bagian Penerangan Umum Divisi Humas Polri, Kombes Asep Adi Saputra menyampaikan, pihak kepolisian pada dasarnya memiliki berbagai jenis granat asap yang digunakan sesuai dengan fungsinya.""Kita memiliki beberapa jenis granat asap tersebut, baik dalam penindakan, dalam kejahatan bereskalasi tinggi, dan kemudian ada kaitannya dengan ketika kita harus memberikan dampak terhadap aksi unjuk rasa,"" tutur Asep di Mabes Polri, Jakarta Selatan, Rabu (4/12/2019).Untuk itu, lanjutnya, penyidik Polda Metro Jaya masih berupaya mengidentifikasi jenis granat asap yang meledak di kawasan Monumen Nasional (Monas), Jakarta Pusat, pada Selasa 3 Desember 2019. Termasuk juga adanya daya ledak pada granat tersebut.""Kita lihat nanti hasil puslabfor,"" jelas Asep.Baca JugaTim Labfor kini masih menyelidiki penyebab granat asap meledak di kompleks Monas dan melukai dua anggota TNI.""Puslabfor masih menyelidik serpihan-serpihan itu bisa memastikan apakah itu granatnya granat asap atau yang lain tapi dugaan awal adalah granat asap,"" kata Kabid Humas Polda Metro Jaya, Kombes Yusri Yunus, di RS Polri, Rabu (4/12/2019).Soal keberadaan granat asap di Monas juga masih dicari tahu. Yusri memastikan, benda tersebut bukan milik kepolisian.""Tidak ada, tidak ada punya polisi. Siapa bilang punya polisi,"" katanya.Sebelumnya, sebuah ledakan terjadi di kawasan Monumen Nasional (Monas), Jakarta Pusat. Dua orang anggota TNI terluka akibat ledakan tersebut.Kapolda Metro Jaya Irjen Gatot Eddy Pramono mengatakan, ledakan tersebut bersumber dari granat asap.""Hasil olah TKP ini diduga granat asap yang meledak. Kita masih dalami. Tapi hasil sementara temuan di TKP ini adalah granat asap,"" ujar Gatot di kawasan Monas, Jakarta Pusat, Selasa 3 Desember 2019.Gatot menuturkan, ledakan tersebut terjadi sekitar pukul 07.15 WIB tadi. Saat kejadian, sejumlah anggota TNI tengah berolah raga di kawasan Monas.""Hasil sementara kita ada korban dua anggota TNI yang sekarang dirawat di RSPAD. Lukanya satu di tangan dan satu di paha,"" tuturnya.Jakarta diramaikan dengan ledakan granat asap, Selasa (03/12/19) pagi. Meskipun tergolong tak mematikan, granat asap tetap punya bahaya."
