tweet,timestamp,username
"RT @CIMBNiaga: Gak perlu tunggu bonus akhir tahun buat belanja di HARBOLNAS 2019! Diskon hingga Rp1,5 juta dan Cashback hingga Rp520 ribu d…",Sat Dec 07 14:03:16 +0000 2019,fuulllan
"Promo :
Harbolnas (Hari Belanja Online Nasional), Potongan umroh untuk pembelian selama bulan Desember.",Sat Dec 07 13:49:36 +0000 2019,fourtyfiveradio
"Gak perlu tunggu bonus akhir tahun buat belanja di HARBOLNAS 2019! Diskon hingga Rp1,5 juta dan Cashback hingga Rp5… https://t.co/WwwkddWF12",Sat Dec 07 13:49:12 +0000 2019,CIMBNiaga
@francle4897 apatuh 12.12? apatuh harbolnas?!! gakenal mereka tu,Sat Dec 07 13:38:53 +0000 2019,agasvyra
"RT @detikfinance: ""Beli produk dalam negeri sama saja selamatkan ekonomi bangsa, karena ada ratusan atau ribuan pekerja dalam negeri yang h…",Sat Dec 07 13:37:25 +0000 2019,faisalsalim861
"@clumsypal Iiihhh naha nanya ke aku wkwk
Pasti ada diskon juga sihhh soalnya kan harbolnas, jd pasti e commerce lomba2an ngasih diskon.",Sat Dec 07 13:22:49 +0000 2019,ijalaninajadulu
malam minggu menuju harbolnas ~ https://t.co/z2UR2iZ49O,Sat Dec 07 13:21:12 +0000 2019,yyiiiinnaja
Tips berburu barang impian saat Harbolnas: https://t.co/3PinD5VeYK,Sat Dec 07 13:17:58 +0000 2019,monicaang2
"👧 : mah nanti tanggal 12 harbolnas 
👩 : apa harbolnas teh? hari bolos nasional?
👧 : *terdiam*",Sat Dec 07 13:14:39 +0000 2019,jjhpeachyboy
"@irfan_nuruddin Template: aksi bela ..........
Tanggal: pilih nomor cantik, mungkin nanti 12.12 ga mau kalah sama h… https://t.co/xKdOxFObki",Sat Dec 07 13:09:02 +0000 2019,iwankecil
"DESEMBER SALE.... 
Masyaa alloh.... ✊✊✊

Ayooo jangan biarin kesempatan emas ini... 
#harbolnas 
#😍",Sat Dec 07 13:08:35 +0000 2019,RenyZhafiraSOSD
"Bantu Ekonomi RI, Yuk Belanja Produk Lokal di Harbolnas! https://t.co/EtCiDzET64 https://t.co/5COCwuOAmw",Sat Dec 07 13:01:32 +0000 2019,ringkasin
*sedang memilih barang untuk dipinang saat harbolnas*,Sat Dec 07 12:47:04 +0000 2019,dhupan
"{np} *YUK SAMBUT HARBOLNAS 12.12*

halo kakakkkk2, kamu mau:

✅ GA BAU BADAN
✅ GA BASAH KETEK

cek disini yu!😉

https://t.co/7onolg93dK",Sat Dec 07 12:35:38 +0000 2019,New_preloved
RT @segokikil: Mas harbolnas ...checkout in dong 😌,Sat Dec 07 12:27:31 +0000 2019,WSetiawan_ID
"@sapu_jalanan Baik kak, maaf atas ketidaknyamanannya. Bella informasikan setelah kakak mengikuti Serbu Seru Harboln… https://t.co/KLZNG1YaXM",Sat Dec 07 12:24:09 +0000 2019,BukaBantuan
"Jadi di Harbolnas 12.12 di mana yang ada diskonnya besar? Gue mau beli sesuatu, sesudua atau sesutiga..",Sat Dec 07 12:20:53 +0000 2019,Backoffdumb
